date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:22	74115/74115	---MCZ	200	added ('OK')	text/html	etag:W/%2212183-5a1d927b314e4%22	https://html.rovadex.com/html-creto/index.html	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/index.html	(from )
16:25:23	50/50	---MCZ	200	added ('OK')	text/plain	date:Thu,%2022%20Aug%202024%2021:25:19%20GMT	https://html.rovadex.com/robots.txt		(from )
16:25:23	2631/2631	---M--	200	added ('OK')	image/png	etag:%22a47-5a1d92baa178d%22	https://html.rovadex.com/html-creto/assets/img/favicon.png	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/assets/img/favicon.png	(from https://html.rovadex.com/html-creto/index.html)
16:25:23	1249/1249	---MCZ	200	added ('OK')	text/css	etag:W/%224e1-5a1d928147fc9%22	https://html.rovadex.com/html-creto/assets/css/slick.min.css	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/assets/css/slick.min.css	(from https://html.rovadex.com/html-creto/index.html)
16:25:23	64623/64623	---MCZ	200	added ('OK')	text/css	etag:W/%22fc6f-5a1d927f4aae4%22	https://html.rovadex.com/html-creto/assets/css/bootstrap-grid.css	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/assets/css/bootstrap-grid.css	(from https://html.rovadex.com/html-creto/index.html)
16:25:23	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-5a1d927fb3aac%22	https://html.rovadex.com/html-creto/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/assets/css/font-awesome.min.css	(from https://html.rovadex.com/html-creto/index.html)
16:25:24	3157/3157	---MCZ	200	added ('OK')	text/css	etag:W/%22c55-5a1d9280ef1d4%22	https://html.rovadex.com/html-creto/assets/css/nice-select.css	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/assets/css/nice-select.css	(from https://html.rovadex.com/html-creto/index.html)
16:25:24	79344/79344	---MCZ	200	added ('OK')	text/css	etag:W/%22135f0-5a1d927ed2118%22	https://html.rovadex.com/html-creto/assets/css/animate.css	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/assets/css/animate.css	(from https://html.rovadex.com/html-creto/index.html)
16:25:24	137328/137328	---MCZ	200	added ('OK')	text/css	etag:W/%2221870-5a1d9281d1338%22	https://html.rovadex.com/html-creto/assets/css/style.css	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/assets/css/style.css	(from https://html.rovadex.com/html-creto/index.html)
16:25:24	5402/5402	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22151a-5a1d92cb6287c%22	https://html.rovadex.com/html-creto/assets/img/logo.svg	C:/My%20Web%20Sites/proyecto/html.rovadex.com/html-creto/assets/img/logo.svg	(from https://html.rovadex.com/html-creto/index.html)
